time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/clip_range
3422,192.88138657017703,1,71.97,0,1574912,,,,,,,,,,,
3272,79.60971451262175,2,28.72,1,1576960,0.0001,4679.50244140625,0.014105498790740967,0.021952978149056435,8958.0318359375,0.2109375,1794,32.096920013427734,0.01743013,0.07999999076128006,0.2
3307,79.46864323474166,3,28.67,1,1579008,0.0001,4538.162109375,0.013991475105285645,0.007744222786277533,8967.590576171875,0.215234375,1796,32.096920013427734,0.028594451,0.07999999076128006,0.2
3261,79.37213365268337,4,28.64,2,1581056,0.0001,3351.04736328125,0.01756298542022705,-0.019992652954533695,7850.2328125,0.2220703125,1801,32.096920013427734,0.016403928,0.07999999076128006,0.2
3187,79.29081699922321,5,28.61,3,1583104,0.0001,1860.9827880859375,0.2204803228378296,-0.014133294473867863,5665.982684326172,0.06201171875,1806,32.096920013427734,0.009928128,0.07999999076128006,0.2
3202,79.34108107086145,6,28.62,3,1585152,0.0001,679.3151245117188,0.650503396987915,-0.013674789783544838,3163.638302612305,0.053125,1811,32.096920013427734,0.009870033,0.07999999076128006,0.2
3204,79.37166166221736,7,28.63,4,1587200,0.0001,206.62106323242188,0.8228315711021423,-0.01432111404137686,1138.1585975646972,0.0791015625,1816,32.096920013427734,0.011610966,0.07999999076128006,0.2
3203,79.41060898531822,8,28.65,5,1589248,0.0001,80.57077026367188,0.8311727643013,-0.012692918733227998,366.946072769165,0.19560546875,1821,32.096920013427734,0.024644086,0.07999999076128006,0.2
3224,79.38706213157134,9,28.64,5,1591296,0.0001,144.59066772460938,0.7760034799575806,0.006888137198984623,304.08113861083984,0.23193359375,1822,32.096920013427734,0.016128412,0.07999999076128006,0.2
3227,79.66016436617755,10,28.73,6,1593344,0.0001,60.265647888183594,0.8113081455230713,-0.01200987320044078,177.92018961906433,0.1912841796875,1826,32.096920013427734,0.02070191,0.07999999076128006,0.2
3240,79.62209204113907,11,28.72,6,1595392,0.0001,32.34874725341797,0.8369658589363098,0.0038360478233938154,86.30661251670436,0.2660361842105263,1829,32.096920013427734,0.026986891,0.07999999076128006,0.2
