time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/learning_rate,train/explained_variance
0,1837056,129.70620893430757,48.75,3604,1,,,,,,,,,,,
1,1839104,132.46938183668738,49.74,3630,2,0.012617695331573486,0.013089153,0.2,26.326751708984375,1948,32.096920013427734,52.46125106811523,0.07999999076128006,0.178125,0.0001,0.9722040295600891
1,1841152,134.41285112919854,50.45,3653,3,0.0016089234501123427,0.033884548,0.2,9.571333885192871,1950,32.096920013427734,27.031241035461427,0.07999999076128006,0.21484375,0.0001,0.9726601839065552
2,1843200,134.40284825686157,50.38,3663,4,0.013946786057204008,0.020407377,0.2,9.81757640838623,1951,32.096920013427734,25.91223955154419,0.07999999076128006,0.21875,0.0001,0.9688780903816223
2,1845248,134.40890154690658,50.34,3681,5,0.009606943931430578,0.016226504,0.2,10.132701873779297,1952,32.096920013427734,25.569118118286134,0.07999999076128006,0.20625,0.0001,0.9788726568222046
3,1847296,135.15096653695178,50.56,3693,6,0.004255335032939911,0.016990338,0.2,11.895362854003906,1953,32.096920013427734,24.83745574951172,0.07999999076128006,0.20234375,0.0001,0.9744235873222351
3,1849344,135.81652159180888,50.75,3697,7,0.01014167753358682,0.015050107,0.2,10.765717506408691,1954,32.096920013427734,23.008673985799152,0.07999999076128006,0.17317708333333334,0.0001,0.9720908999443054
4,1851392,137.93119162587277,51.38,3693,8,0.016076483763754368,0.026034363,0.2,10.321192741394043,1955,32.096920013427734,23.021846771240234,0.07999999076128006,0.2760416666666667,0.0001,0.9756100177764893
4,1853440,139.28782039025816,51.79,3697,9,0.011571116745471954,0.021710323,0.2,14.336043357849121,1956,32.096920013427734,26.39434814453125,0.07999999076128006,0.2669270833333333,0.0001,0.9767851233482361
5,1855488,139.35484686457573,51.77,3702,10,0.012357635733981928,0.019178791,0.2,15.503511428833008,1957,32.096920013427734,33.01369094848633,0.07999999076128006,0.25390625,0.0001,0.9714400768280029
6,1857536,140.84793168247708,52.29,3704,11,0.015059694647789001,0.02208601,0.2,26.55396842956543,1958,32.096920013427734,46.36802673339844,0.07999999076128006,0.24088541666666666,0.0001,0.941126823425293
6,1859584,141.20239859354555,52.41,3701,12,0.01198930541674296,0.033687502,0.2,14.763028144836426,1959,32.096920013427734,28.646973927815754,0.07999999076128006,0.32421875,0.0001,0.9719899892807007
7,1861632,144.01515352465077,53.38,3685,13,0.00945509597659111,0.02161686,0.2,13.028291702270508,1960,32.096920013427734,27.499497095743816,0.07999999076128006,0.24479166666666666,0.0001,0.9770198464393616
7,1863680,143.79587398412826,53.3,3687,14,0.017307970051964123,0.018847205,0.2,18.63709259033203,1961,32.096920013427734,34.72381718953451,0.07999999076128006,0.22786458333333334,0.0001,0.9723429679870605
8,1865728,142.8070510782749,52.94,3690,15,0.0033411229960620403,0.021434758,0.2,26.770349502563477,1962,32.096920013427734,63.82599353790283,0.07999999076128006,0.2548828125,0.0001,0.9458242654800415
8,1867776,145.1464017808116,53.75,3694,16,0.010172690264880657,0.016999267,0.2,23.21842384338379,1963,32.096920013427734,99.281174659729,0.07999999076128006,0.2236328125,0.0001,0.9152694940567017
9,1869824,147.32721487157838,54.54,3695,17,0.0011154816796382268,0.017436331,0.2,34.5775260925293,1964,32.096920013427734,63.670335133870445,0.07999999076128006,0.20052083333333334,0.0001,0.9456462264060974
9,1871872,150.77749197815334,55.83,3696,18,0.016812673769891262,0.019599363,0.2,16.130704879760742,1965,32.096920013427734,48.683083057403564,0.07999999076128006,0.2060546875,0.0001,0.9480520486831665
10,1873920,149.5482547527556,55.39,3665,19,0.014854634180665016,0.02297163,0.2,25.177122116088867,1966,32.096920013427734,57.987083435058594,0.07999999076128006,0.2509765625,0.0001,0.9483784437179565
11,1875968,152.93536736068148,56.62,3664,20,0.008044116664677858,0.02122147,0.2,12.591897010803223,1967,32.096920013427734,29.77827215194702,0.07999999076128006,0.2333984375,0.0001,0.9762812852859497
11,1878016,155.82844132028183,57.65,3666,21,0.012301796736816565,0.018000118,0.2,15.387605667114258,1968,32.096920013427734,31.58950678507487,0.07999999076128006,0.24674479166666666,0.0001,0.974816620349884
