time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/loss
0,1,126.19,526336,4338,322.920498519063,,,,,,,,,,,
0,2,123.41,528384,4212,314.2098295954889,0.8220417499542236,32.096920013427734,0.07999999076128006,0.018176605304082234,0.0003,448.47459920247394,0.2,0.22005208333333334,1281,0.018854612,217.04574584960938
1,3,122.99,530432,4329,312.7496356522704,0.9952151775360107,32.096920013427734,0.07999999076128006,0.06102922651916742,0.0003,38.93247604370117,0.2,0.380859375,1282,0.13863643,18.28821563720703
1,4,117.4,532480,4351,295.4114103079859,0.8908612132072449,32.096920013427734,0.07999999076128006,0.037755020428448915,0.0003,483.0778350830078,0.2,0.345703125,1283,0.069326565,222.9519805908203
2,5,114.71,534528,4374,286.4232353586376,0.9750637412071228,32.096920013427734,0.07999999076128006,0.056085117161273956,0.0003,196.45977020263672,0.2,0.376953125,1284,0.079707555,106.48683166503906
2,6,111.35,536576,4376,275.4529048317681,0.9134570956230164,32.096920013427734,0.07999999076128006,0.04536113515496254,0.0003,306.46783447265625,0.2,0.3359375,1285,0.06346166,148.09710693359375
3,7,110.32,538624,4384,272.45800322065855,0.9364631175994873,32.096920013427734,0.07999999076128006,0.02992120012640953,0.0003,326.4884948730469,0.2,0.3359375,1286,0.056985233,161.39385986328125
3,8,109.24,540672,4403,270.39560952714584,0.9688858389854431,32.096920013427734,0.07999999076128006,0.022927235811948776,0.0003,170.5763816833496,0.2,0.330078125,1287,0.046541758,63.30644989013672
4,9,107.37,542720,4404,265.4192409175334,0.902073860168457,32.096920013427734,0.07999999076128006,0.024858239106833935,0.0003,533.5824279785156,0.2,0.333984375,1288,0.05053215,261.6286315917969
4,10,106.25,544768,4414,263.00341195600527,0.9466922879219055,32.096920013427734,0.07999999076128006,0.03404565528035164,0.0003,333.5727081298828,0.2,0.263671875,1289,0.03217653,139.0034637451172
5,11,104.79,546816,4422,259.35900548771184,0.9511390328407288,32.096920013427734,0.07999999076128006,0.047257671132683754,0.0003,248.95418548583984,0.2,0.259765625,1290,0.043611713,85.69384765625
5,12,102.71,548864,4424,253.43306801088937,0.9180982112884521,32.096920013427734,0.07999999076128006,0.034542655339464545,0.0003,424.6899108886719,0.2,0.283203125,1291,0.038385913,201.82301330566406
6,13,100.7,550912,4428,247.85536754430134,0.9504121541976929,32.096920013427734,0.07999999076128006,0.017893268261104822,0.0003,308.3831100463867,0.2,0.267578125,1292,0.026384978,127.9244155883789
6,14,100.29,552960,4432,246.9117173167655,0.9481602311134338,32.096920013427734,0.07999999076128006,0.009907448664307594,0.0003,230.49111938476562,0.2,0.25390625,1293,0.024060559,107.85279846191406
6,15,99.25,555008,4430,243.7262394626344,0.9189324378967285,32.096920013427734,0.07999999076128006,0.03288287948817015,0.0003,398.8029327392578,0.2,0.251953125,1294,0.02881306,200.9497528076172
7,16,99.13,557056,4434,243.71037452825996,0.9542429447174072,32.096920013427734,0.07999999076128006,0.02624961407855153,0.0003,281.544189453125,0.2,0.23828125,1295,0.022404054,143.00515747070312
7,17,100.42,559104,4433,247.76867037662586,0.9453305602073669,32.096920013427734,0.07999999076128006,0.027473936788737774,0.0003,252.1143035888672,0.2,0.232421875,1296,0.022262057,96.39725494384766
8,18,100.84,561152,4432,248.99573241279683,0.9359713792800903,32.096920013427734,0.07999999076128006,0.012116200290620327,0.0003,277.8541717529297,0.2,0.263671875,1297,0.028184738,136.92149353027344
8,19,101.45,563200,4433,251.2369467288049,0.9470773935317993,32.096920013427734,0.07999999076128006,0.02527830470353365,0.0003,262.58069610595703,0.2,0.2421875,1298,0.023683771,134.95298767089844
9,20,102.63,565248,4434,254.93645349457142,0.9452121257781982,32.096920013427734,0.07999999076128006,0.041444615460932255,0.0003,214.1364288330078,0.2,0.294921875,1299,0.0306344,104.04076385498047
9,21,103.21,567296,4432,257.0261284911657,0.9484677910804749,32.096920013427734,0.07999999076128006,0.040060415863990784,0.0003,205.98780822753906,0.2,0.30859375,1300,0.045198187,91.46227264404297
10,22,104.19,569344,4434,260.45755434319835,0.9384676814079285,32.096920013427734,0.07999999076128006,0.08457285445183516,0.0003,248.26473236083984,0.2,0.3515625,1301,0.075862125,122.29090118408203
10,23,106.7,571392,4436,268.4274193551576,0.9358736276626587,32.096920013427734,0.07999999076128006,0.08553906576707959,0.0003,220.94326782226562,0.2,0.384765625,1302,0.12605174,100.97866821289062
11,24,108.97,573440,4439,275.6919879254399,0.9277958869934082,32.096920013427734,0.07999999076128006,0.04133971547707915,0.0003,245.18275451660156,0.2,0.35546875,1303,0.08106044,112.16786193847656
11,25,112.17,575488,4441,286.4824181177043,0.9340912103652954,32.096920013427734,0.07999999076128006,0.09039478376507759,0.0003,219.02191162109375,0.2,0.3984375,1304,0.13297933,112.6046371459961
11,26,117.21,577536,4442,302.60026850722954,0.912254810333252,32.096920013427734,0.07999999076128006,0.05534319020807743,0.0003,268.7890319824219,0.2,0.380859375,1305,0.10132328,128.8137664794922
12,27,121.28,579584,4442,316.4037798831762,0.9336119890213013,32.096920013427734,0.07999999076128006,0.04753582365810871,0.0003,235.48776245117188,0.2,0.34765625,1306,0.08286591,109.21320343017578
12,28,128.43,581632,4441,338.923017489338,0.8583174347877502,32.096920013427734,0.07999999076128006,0.027160978177562356,0.0003,342.65330505371094,0.2,0.369140625,1307,0.06975022,175.76724243164062
13,29,131.78,583680,4440,349.1244551118241,0.913737416267395,32.096920013427734,0.07999999076128006,0.03070475347340107,0.0003,321.9121398925781,0.2,0.326171875,1308,0.06441558,173.400146484375
13,30,135.57,585728,4440,360.33304717230305,0.9261273741722107,32.096920013427734,0.07999999076128006,0.035364982672035694,0.0003,238.6183624267578,0.2,0.37109375,1309,0.05980449,125.56991577148438
14,31,138.1,587776,4437,365.84428723229996,0.9350041151046753,32.096920013427734,0.07999999076128006,0.03149332106113434,0.0003,246.81725311279297,0.2,0.369140625,1310,0.07623831,134.355224609375
14,32,139.32,589824,4437,365.818965833396,0.9386979341506958,32.096920013427734,0.07999999076128006,0.09968237206339836,0.0003,215.37255859375,0.2,0.41015625,1311,0.14144208,107.37098693847656
15,33,140.11,591872,4435,364.40036379532853,0.9383923411369324,32.096920013427734,0.07999999076128006,0.11466335691511631,0.0003,252.77677154541016,0.2,0.359375,1312,0.12102234,124.20071411132812
15,34,136.12,593920,4429,346.90095243090167,0.9568173289299011,32.096920013427734,0.07999999076128006,0.0671999710611999,0.0003,145.99542999267578,0.2,0.388671875,1313,0.1820952,68.50167083740234
16,35,131.1,595968,4426,328.02466765876954,0.9164168238639832,32.096920013427734,0.07999999076128006,0.08418445754796267,0.0003,330.36834716796875,0.2,0.376953125,1314,0.11131875,179.82411193847656
16,36,127.51,598016,4424,315.00260731444496,0.9336227178573608,32.096920013427734,0.07999999076128006,0.09587006457149982,0.0003,292.92374420166016,0.2,0.396484375,1315,0.15902221,173.50025939941406
17,37,120.08,600064,4421,289.29184020216326,0.896994411945343,32.096920013427734,0.07999999076128006,0.07982314936816692,0.0003,396.1439208984375,0.2,0.3671875,1316,0.1497486,199.40650939941406
17,38,113.79,602112,4420,270.77652748892416,0.925432562828064,32.096920013427734,0.07999999076128006,0.05162039678543806,0.0003,434.4862518310547,0.2,0.384765625,1317,0.13777728,213.66909790039062
18,39,109.19,604160,4411,255.78477328734118,0.9076678156852722,32.096920013427734,0.07999999076128006,0.05273847095668316,0.0003,403.76625061035156,0.2,0.376953125,1318,0.13534363,178.79193115234375
18,40,105.74,606208,4353,245.58907762195878,0.8964940309524536,32.096920013427734,0.07999999076128006,0.09903566667344421,0.0003,457.050048828125,0.2,0.37109375,1319,0.12708704,219.73928833007812
19,41,104.68,608256,4353,240.88218782591684,0.9116073846817017,32.096920013427734,0.07999999076128006,0.08115073619410396,0.0003,390.34742736816406,0.2,0.357421875,1320,0.11078396,218.2508087158203
19,42,103.97,610304,4357,238.25180007825503,0.9334378242492676,32.096920013427734,0.07999999076128006,0.07283935323357582,0.0003,306.5502471923828,0.2,0.400390625,1321,0.22106254,150.19700622558594
20,43,103.2,612352,4360,235.263335153661,0.9211008548736572,32.096920013427734,0.07999999076128006,0.07110113650560379,0.0003,380.63739013671875,0.2,0.353515625,1322,0.113689244,189.96580505371094
20,44,101.37,614400,4365,230.33946960347643,0.9080427885055542,32.096920013427734,0.07999999076128006,0.07584110461175442,0.0003,433.91294860839844,0.2,0.341796875,1323,0.124570355,182.0946044921875
21,45,97.14,616448,4369,219.65939919297114,0.9218200445175171,32.096920013427734,0.07999999076128006,0.06471644714474678,0.0003,383.89500427246094,0.2,0.3515625,1324,0.13916592,183.3773651123047
21,46,93.94,618496,4373,212.4948139431854,0.9165850877761841,32.096920013427734,0.07999999076128006,0.07045790553092957,0.0003,451.1996612548828,0.2,0.3828125,1325,0.1725529,225.68809509277344
22,47,90.72,620544,4373,205.51056988044874,0.9156804084777832,32.096920013427734,0.07999999076128006,0.047863155603408813,0.0003,476.5256042480469,0.2,0.337890625,1326,0.109111264,192.6754913330078
22,48,88.09,622592,4376,200.2956838852054,0.9368375539779663,32.096920013427734,0.07999999076128006,0.045570592395961285,0.0003,396.0930633544922,0.2,0.33984375,1327,0.088924944,134.35671997070312
22,49,85.71,624640,4379,194.98787787192776,0.9216345548629761,32.096920013427734,0.07999999076128006,0.06220646854490042,0.0003,508.79638671875,0.2,0.3671875,1328,0.07894479,255.97633361816406
