rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/entropy_loss,train/n_updates,train/approx_kl,train/value_loss,train/std,train/clip_fraction,train/explained_variance,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate
18.90625,2048,2681,51.49677449461816,1,0,,,,,,,,,,,
20.07,4096,2533,54.921693772715315,2,1,32.096920013427734,1,0.15915804,399.65423583984375,0.07999999076128006,0.40625,-0.001227259635925293,187.93780517578125,0.2,0.08542354591190815,0.0003
24.2,6144,2575,65.58201829580148,3,2,32.096920013427734,2,0.09046109,423.1891632080078,0.07999999076128006,0.365234375,8.13603401184082e-05,208.37986755371094,0.2,0.048738718032836914,0.0003
29.82,8192,2594,80.07470974382197,4,3,32.096920013427734,3,0.061176147,547.6284484863281,0.07999999076128006,0.32421875,0.0027574896812438965,273.39263916015625,0.2,0.019466347992420197,0.0003
33.98,10240,2605,91.00927882153309,5,3,32.096920013427734,4,0.07023404,669.287841796875,0.07999999076128006,0.345703125,0.005544900894165039,324.8740234375,0.2,0.05856804037466645,0.0003
34.59,12288,2615,92.88725240485523,6,4,32.096920013427734,5,0.04618422,689.6014709472656,0.07999999076128006,0.322265625,0.005798041820526123,346.28509521484375,0.2,0.03858305932953954,0.0003
34.44,14336,2623,92.94593925843269,7,5,32.096920013427734,6,0.035955187,648.6555480957031,0.07999999076128006,0.306640625,0.006049215793609619,334.06146240234375,0.2,0.029349111951887608,0.0003
34.13,16384,2633,92.41557189243245,8,6,32.096920013427734,7,0.03484109,668.5018920898438,0.07999999076128006,0.318359375,0.005946815013885498,317.8279724121094,0.2,0.016018365742638707,0.0003
34.1,18432,2639,92.49330472533711,9,6,32.096920013427734,8,0.028369706,700.4513549804688,0.07999999076128006,0.2578125,0.006122231483459473,366.2405700683594,0.2,0.01670348271727562,0.0003
33.91,20480,2646,92.13343983511824,10,7,32.096920013427734,9,0.015240312,690.1349182128906,0.07999999076128006,0.2109375,0.0050528645515441895,323.6487121582031,0.2,0.014873257372528315,0.0003
33.78,22528,2651,91.86903300568342,11,8,32.096920013427734,10,0.019210348,687.284423828125,0.07999999076128006,0.248046875,0.005636751651763916,342.94012451171875,0.2,0.018365660682320595,0.0003
33.57,24576,2653,91.40478019521488,12,9,32.096920013427734,11,0.018705811,682.2235717773438,0.07999999076128006,0.232421875,0.005431652069091797,350.177734375,0.2,0.0063357166945934296,0.0003
33.49,26624,2655,91.26244229405438,13,10,32.096920013427734,12,0.017233428,667.913330078125,0.07999999076128006,0.22265625,0.0052356719970703125,318.08673095703125,0.2,0.00776792922988534,0.0003
33.3,28672,2658,90.87814516239446,14,10,32.096920013427734,13,0.016092401,653.906982421875,0.07999999076128006,0.22265625,0.004643261432647705,325.6002502441406,0.2,0.018516757525503635,0.0003
33.2,30720,2661,90.70694963050946,15,11,32.096920013427734,14,0.0359846,650.1571451822916,0.07999999076128006,0.3151041666666667,0.0040721893310546875,344.6884460449219,0.2,0.023601513355970383,0.0003
33.12,32768,2664,90.56976774366903,16,12,32.096920013427734,15,0.018756846,662.6839396158854,0.07999999076128006,0.24088541666666666,0.0044533610343933105,331.0917053222656,0.2,0.014877520812054476,0.0003
33.09,34816,2662,90.47198564564616,17,13,32.096920013427734,16,0.016604232,624.8731892903646,0.07999999076128006,0.20963541666666666,0.0048561692237854,302.5835266113281,0.2,0.008717828119794527,0.0003
